id,dim0,dim1,dim2,dim3
326,-86.61145,55.13976,61.606987,-127.439514
327,-89.926445,59.712395,51.314056,-125.38635
328,-90.23229,59.94424,51.34162,-125.73326
329,-90.46245,60.05673,51.680992,-126.16918
330,-90.736046,60.24341,51.81214,-126.53795
331,-90.36753,59.487602,54.22893,-127.464615
332,-90.448616,59.39044,55.051895,-128.00424
333,-90.73922,59.596474,55.151306,-128.37404
334,-91.247856,60.11525,54.512157,-128.575
335,-88.36753,55.76246,65.408,-131.43057
336,-90.209496,58.199703,60.221085,-130.5819
337,-97.1215,67.74457,38.705177,-126.27104
338,-91.19595,59.1928,59.04846,-131.00838
339,-92.44449,60.781094,55.86032,-130.61298
340,-93.13817,61.555115,54.646595,-130.69931
341,-89.43765,56.024685,68.327095,-134.19348
342,-94.15399,62.606712,53.290195,-131.0568
343,-92.75638,60.361675,59.26074,-132.81757
344,-103.382645,74.95365,26.60437,-126.42152
345,-98.30545,67.76213,43.336304,-130.09708
346,-103.82617,75.15225,27.351856,-127.31288
347,-95.29168,63.178947,54.884647,-133.166
348,-103.478424,74.38837,29.893044,-128.33035
349,-100.30549,69.78005,40.935905,-130.94919
350,-93.95381,60.600956,62.805557,-136.06201
351,-95.154755,62.121933,59.773796,-135.7008
352,-95.63034,62.599937,59.212482,-135.90863
353,-101.03997,69.930336,43.092136,-132.92935
354,-101.3786,70.21109,42.99891,-133.24551
355,-101.46509,70.12494,43.78678,-133.77173
356,-97.73839,64.76877,56.46679,-136.68842
357,-98.14434,65.14545,56.14882,-136.95425
358,-96.9192,63.156166,61.492073,-138.55785
359,-94.59972,59.640797,70.318504,-140.88603
360,-103.0602,71.37818,43.70366,-135.45644
361,-94.83021,59.526394,71.825874,-141.96335
362,-96.65825,61.938786,66.711235,-141.13925
363,-92.48835,55.72629,82.027115,-145.02182
364,-98.1641,63.679676,63.764626,-141.15552
365,-104.187386,71.91435,45.441704,-137.63306
366,-97.55548,62.370483,68.06947,-142.85797
367,-100.097694,65.81534,60.493862,-141.45789
368,-105.219406,72.76485,45.18397,-138.61108
