id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24
243,214,9,0,0,0,0,0,0,0,0,1,0,0,2,25,40,42,26,17,14,3,2,8,14,11
244,218,0,0,0,0,0,0,2,19,18,16,18,14,10,3,17,28,7,14,16,10,11,9,5,1
245,334,0,0,0,0,0,0,0,1,9,18,13,19,13,15,9,28,26,25,34,31,24,28,23,18
246,244,6,20,10,0,1,0,0,0,5,1,21,60,11,9,12,18,9,12,23,13,1,5,7,0
247,177,13,2,1,0,0,0,0,0,0,0,10,2,11,2,12,6,3,3,4,10,28,20,28,22
248,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,15,186,12,0,0,7,0,0
249,162,0,0,0,0,0,0,0,2,5,14,29,27,9,2,6,24,14,13,2,1,4,8,2,0
250,239,0,0,0,0,0,0,0,0,0,25,11,9,8,8,5,47,36,19,18,17,16,9,0,11
251,178,5,0,0,0,0,0,0,0,0,0,17,13,15,10,15,33,2,12,2,11,39,1,0,3
252,171,0,0,0,0,0,0,0,0,5,21,18,5,8,26,6,4,12,17,8,9,4,17,6,5
253,313,1,0,0,0,0,0,0,0,0,10,10,22,8,0,8,13,55,58,0,11,25,29,51,12
255,213,7,0,0,0,0,0,0,0,0,0,7,13,10,37,29,16,21,18,8,3,2,7,16,19
256,176,28,27,7,2,0,0,0,0,0,1,4,11,6,5,2,2,6,11,9,5,6,14,22,8
257,167,16,22,2,0,0,0,0,0,0,7,6,6,4,2,1,9,12,12,7,17,28,9,2,5
258,397,0,0,0,0,0,0,0,0,0,10,13,26,7,36,10,33,61,1,8,26,30,60,59,17
260,181,16,3,0,0,0,0,0,0,0,0,5,16,19,7,13,2,3,2,6,16,19,9,12,33
261,28,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,6,4,7
262,126,6,0,0,0,0,0,0,0,7,7,5,3,8,21,7,11,1,14,11,0,0,3,5,17
263,648,50,43,18,7,0,0,0,1,8,9,28,12,9,13,18,42,24,34,44,20,17,63,88,100
264,265,6,8,0,0,0,0,0,0,0,3,0,3,12,3,19,9,22,15,24,36,48,25,29,3
265,45,0,0,0,0,0,0,0,6,2,6,1,8,1,2,2,0,4,2,1,1,2,2,5,0
266,50,0,3,0,1,1,0,0,0,0,1,1,0,2,4,1,1,4,6,1,3,11,6,3,1
267,230,6,2,0,0,0,0,0,0,0,0,1,29,25,3,10,14,20,11,9,10,23,33,22,12
268,291,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17,13,8,16,38,81,69
269,182,0,3,0,0,0,0,0,0,0,0,0,1,8,10,5,2,2,39,7,12,67,14,11,1
270,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3,7,0,0,0,3,14,1
